index,title,writer,views,comments_count,likes,comments,keyword
6974949,트럼프 취임식까지 못 버티는 니가 ㅂㅅ,"양놈들 ㅈㄴ 단순함
Patriot 이거 하나로 ㄱ불장 올거니 내릴때마다 조용히 매집햐
쌩스기빙, 클스마스, 트럼프 취임
트럼프가 성조기 앞에 선서하고 머스크 얼굴비칠때 정점으로 날라간다 니가 오늘 산 코인이.",29,0,0,,트럼프
6974878,트럼프 비트코인?,"트럼프는 전부터 비트코인은 사기라고 했던 사람임. 
가상화폐 지지는 대선에 당선되기 위한 수단일 뿐, 결코 지지자가 아니다. 
사람의 생각은 쉽게 변하지 않는다. 특히, 트럼프 같이 나이든 노인은 더욱 그렇다.   기축통화인 달러의 지위를 컨트롤 불가능한 비트코인한테 넘겨준다? 
심지어 아메리칸 퍼스트를 외치는 사람이? 절대 아니다. 미국 정부가 발행하는 가상화폐 출현의 예고일 뿐임. 미국 정부 보증하는 가상화폐가 발행되면?
지금 가상화폐 전부다 휴짓조각 된다. 세상에 영원히 오르는 것은 없다.",69,0,0,,트럼프
6974869,크아아아아아악 트럼프형 머스크형 롱충이 살려,크아아아아아아아아아아아아아아아아악,52,0,0,,트럼프
6974849,안팔고 잘준비한다 ㅋㅋㅋ 어차피 스텔라 올해안으로 지폐간다 ㅋㅋㅋ,"트럼프
sex 의장 사퇴 이 두개를 놓고 지폐 못가면
뭘해야 지폐가겠냐ㅋㅋㅋㅋ",221,0,1,,트럼프
6974827,트럼프 연관코인 목록,알려주실분,206,3,1,"https://in.mt/upbit
감사",트럼프
6974823,미국 만세,하일 트럼프,110,0,0,,트럼프
6974551,샌박 900층은 트럼프 믿고 기다려라. 무조건 간다,아ㅋㅋ 트럼프 주니어 당선까지 기다리라고ㅋㅋㅋㅋ,79,0,0,,트럼프
6974445,그냥 병신들아 비트랑 도지만 사놔라. ㄹㅇ 장애들인가,"비트코인은 미국의 전략적 자산으로 인정받아서
비트코인으로 미국 부채를 해결하고
미국이 초인플레이션 대비해서 달러를 ㅈㄴ게 찍어내는데
그 달러가 전부 시중에 다 풀리면 물가가 존나 오른다.
그걸 비트코인으로 해결할려고 하는거고
비트코인 가격이 높아질수록 해결이 수월해진다 멍청한 애들아 그리고 도지코인은 솔직히 애는 좀 리스크가 있는데
일론 머스크라는 지구 1황의 오른팔이라는 변수가 있다.
지금 웬만한 코인들은 다 존나 올랐잖아 바보들아
시대는 변했다.
비트코인은 고가의 상품으로써 인정을 받아 장기투자가 된다.
도지코인도 일론 머스크라는 변수가 있어서 들어가볼만하다
이거 이외엔 차트상 아직 바닥에 있는 애들 들어가는거 이외에
스캘핑 칠거 아니면 쳐다도 보지마라 바보들아 ㄹㅇ ㅉㅉㅉ
형 이클 평단 28000원 2억 박은 사람이다. 솔직히 도지는 반반이고
비트 고점에 물린애들은 그냥 금 사놨다고 생각하고 묻어둬라
트럼프 임기내엔 무조건 오른다.
빚내서 산 새키들은 뭐 어쩔수 없지만
니 돈으로 비트 고점에 물린 새키들은 그냥 금 샀다라고 생각하고 묻어둬라.
그럼 트럼프 임기내엔 무조건 크게 먹는다.
그럼 수고.",143,0,0,,트럼프
6974423,세일하고 있어서 싱글벙글 쓸어담고있는 트럼프면 개추,보고있는거 다안다,53,0,0,,트럼프
6974406,코인 고인물 없냐 너네가볼때 지금 시장상황,1. 건강한 조정 2. 트럼프빔 선반영 시즌종료 전단계 3. 기타,157,7,0,"안알려줌 ㅋㅋ
2번이라고 보고 현금화하고 관망해라. 못벌면 아쉽고 말지만 물리면 아프다
난 스켈핑충이라 매일 현금화임 소액 알트넣어논거빼곤 
1 — ㄹㅇ+
1로 보여? 비트는 건강한조정같은데 알트가 영 모르겟다. 
19년부터 시작한 코린이가 볼땐 시즌종료가 맞음ㅋㅋ 계속 조정 나오다 트럼프 취임 전후로 반짝 상승하고 계단식하향ㅋ
나도 18년도1월 부터했는데 메이저알트 대놓고 설거지긴해",트럼프
6974179,현재 마이너스지만 웃을 수 있는 이유,"쎄해서 도지에 700만 남기고 전무 뺐기 때문,,
참고로 난 이쯤에서 도지 묻어 놓을거임
좀 더 떨어지면 물타기 하고 어처피 트럼프 시대 열리는 순간
존나 오를거니까 너무 겁먹지 마라 다들
애초에 코인을 ㅁ밀어주는 세상이 올거니까 우리가해야할검 코인 과세 반대청원 뿐",266,0,1,,트럼프
6974134,- 시 즌 종 료 - 다음 트럼프 취임식때 만나요,모두 질서있는 퇴장 부탁드립니다,62,0,0,,트럼프
6974052,반감기는 올해 4월까지였고 이번엔 미대선이슈아님?,트럼프땜에 오른거잖아,86,0,0,,트럼프
6974014,미국이 비트코인을 이용하려는 목적,"뇌피셜인데 난 한 몇년전부터 미국이 달러를 너무 많이 찍어서 문제라면
암호화폐 가격을 미친듯이 높게 만든 다음에
중앙에서 비축한 대량의 비트코인을 쫙 매도해서
돈을 한꺼번에 회수하고
시장에 풀린 돈을 한꺼번에 회수할 수 있다. 내가 개인적으로 계속 왜 미국이 이렇게 좋은 방법을 안 쓰나 싶었거든?
근데 역시 트럼프다 싶다. 
똑똑해 이제 비트코인 우주로켓 발사한다.
그리고 미국의 부채가 한꺼번에 상당량을 해소할 수준이 되면
어느날 폭락해서 -99.9% 찍을거다. 그치만 그날이 빨리는 안 올거고
우리들이 잘 치고 빠지면
엄청난 부를 손에 넣을 수 있다.
마지막까지 남는 바보들만 거지되면 되는거다.",245,3,4,"큰그림에서 인플레이션 헷지용으로 보긴하는데 달러회수도 좋은의견이네 ㅇㅇ 
좋은 의견이시네요. 적어도 임기내에선 잘 활용할듯.
중간중간 -20퍼~ -30퍼 정도 코인을 털면서 개미들 평단 올리는 비극을 만들어놓고 점점 고점에 가져다 놓는 작업을 하는거지. 꾸준이 그러면서 개미들 돈 착착 모아서 마지막에 악재 터뜨리고 대하락. 마지막에 쳐물리면 4년걸리는거지. 항상 익절을 생활화하고 욕심부리면 안되는 이유지.",트럼프
6973923,"속보) 트럼프, 비트코인은 사기... 암호화폐 거래금지 행정명령 검토중",물린 개미들은 인생의 쓴맛을 봐야한다고 백악관 대변인이 전했다,473,0,2,,트럼프
6973846,트럼프 취임할때까지 업비트 다 지워라 시발,개좆됫다,191,0,0,,트럼프
6972977,버거 후발대 오면 그냥 게임끝임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,트럼프 불장이 이렇게 싱겁게 끝나겠냐 ㅋ,166,0,0,,트럼프
6972930,빨리 다팔아라 내일 트럼프가 통수친다,ㅇㅇ,90,0,0,,트럼프
6972879,상승장 오는 2가지 이유,1.세력 회의에서 상승장 계획중 2. 트럼프 지지,166,0,0,,트럼프
6972499,트럼프효과로 취임전까진 큰조정 안올거다,과세유예되면 존나 더오를거고 자고로 12월말까지는 안전빵임,133,0,2,,트럼프
6972465,튈거같네,"다음 차례는 뭐가가려나 ㅋㅋㅋㅋ
혹시모르니 메타별로 담아놔야지
트럼프 당선 이후로 디파이 핫하던데
RWA까지 묻은 펜들 좋아보이네
TVL 36억 달러 돌파하고있고 거래량은 300억 넘었네 ㄷㄷ
9월에 업빗에서 쏜적 있던데 그거처럼 메타오면 엄청 튈거같네",142,0,0,,트럼프
6972456,아직 수익 100퍼 이상이라 푸근하면 ㄱㅊ ㅋㅋ,ㅋㅋㅋㅋㅋ 머스크가 트럼프 편 들어줬을때부타 샀어야지 ㅋㅋ,83,0,2,,트럼프
6972433,비트 67k에 계속 오른다 얘기했음,"?현코인의 비트코인 현물 선물관점공부소통방 호재/정보
#비트코인#도지코인#이더리움#리플#솔라나#수이#세이#에어드랍#NFT#바이비트#바이낸스#업비트#빗썸#가상화폐#암호화폐#코인차트#코인정보#리플#선물거래#현물거래#현물#코린이#시바이누#현코인#경제뉴스#나스닥#엔비디아#테슬라#트럼프#알트코인#BTC#테더#USDT#
buly.kr 간간히 비트 관점이나 시황 올려주니까 와서 눈팅해",176,0,0,,트럼프
6972421,도지 오르는 이유 알려준다,"?현코인의 비트코인 현물 선물관점공부소통방 호재/정보
#비트코인#도지코인#이더리움#리플#솔라나#수이#세이#에어드랍#NFT#바이비트#바이낸스#업비트#빗썸#가상화폐#암호화폐#코인차트#코인정보#리플#선물거래#현물거래#현물#코린이#시바이누#현코인#경제뉴스#나스닥#엔비디아#테슬라#트럼프#알트코인#BTC#테더#USDT#
bit.ly
트럼프 당선되고부터 본격적으로 상승하는데 여기서 그때 눈치채고 도지 매수하라고 했다
들어와서 알트 추천해주는거 눈팅해",198,0,0,,트럼프
6972261,"트럼프, 미국을 코인의 수도로 만들것","1
이미지 순서 ON 2 3",112,0,0,,트럼프
6971922,트럼프 취임식 아직 하지도않았다 믿고 홀딩,ㄹㅇ 바겐세일 다줍는다,53,0,1,,트럼프
6971722,역시나 시즌마다 모든코인을 먹여주진않네,"당연한거지만 순환펌핑은 개뿔ㅋㅋㅋ 안오른새끼들은 트럼프당선이후 지금 10퍼도 안올랐을듯 최고는 한 4,500퍼될듯 스텔라",81,0,0,,트럼프
6971720,2주전에 코인 못드간 사람들 기회 오냐?,트럼프 논란 계속 터뜨려서 취임 전까지 계속 떨어지자 ㄱㄱ,167,0,0,,트럼프
6971681,트럼프가 코인 버렸나본데 ㅋㅋㅋ,비트코인 0원 되겠노,141,0,0,,트럼프
6971613,트럼프 암살사실 ㅜ,ㅠ,99,0,1,,트럼프
6971611,트럼프 되었는데 코인하락장 뭐냐,.,67,0,0,,트럼프
6971558,트럼프 버프 끝났거 아님?,일단 현금 관망을 추천,170,0,0,,트럼프
6971446,트럼프 탄핵됨?,왤케 떨어지냐,68,0,0,,트럼프
6971331,이씨발 ㅈ같네 내가타면 다쳐내리노,"한10일동안 조정개무서워서 못타다가 트럼프빨믿고 한 10만8천에서 조정주겟지해서 드갓는데
좃같네 이씨발 -120손절했다 안한다꺼져라",47,0,0,,트럼프
6971314,트럼프.암살사실이냐?,ㅇㅇ,68,0,0,,트럼프
6971230,트럼프 호재취소 됐다는데,진짜임?,352,3,2,"https://in.mt/upbit
좆댔네
느금씨발련아",트럼프
6971152,근데 비트코인 왜 떡랃하는거임,트럼프 말실수 한 거 아니면 계속 오를텐데 ㄷ,198,1,0,트럼프 머스크 악재,트럼프
6971099,코인 불장이 벌써 끝나겠냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,트럼프가 죠스로 보이노?,202,0,2,,트럼프
6970858,트럼프. 비트코인 규제 하겠다 선언 ㅋㅋ,,335,0,0,,트럼프
6970685,다음 뉴스뜨면 코인 탑니다 ㅂㅂ,트럼프 머스크 관계 어떨지보고 코인 탄다 ㅂㅂ,62,0,0,,트럼프
6970490,트럼프 도지 쏜다 ㅅㅅ,,197,0,0,,트럼프
6970387,지금 쫄아서 돈 빼는 애들 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"https://naver.me/5T4GJ9Ws
 [트럼프 파워엘리트] '親가상화폐' 인사들 포진…'美=가상화폐 수도' 실현하나
'정부효율부' 수장 머스크·상무장관 러트닉·재무장관 베센트 등 전진 배치 증권거래위원장, 친가상화폐 인사 거론…백악관에 새 전담 직책 신설도 검토 김태종 특파원 = 도널드 트럼프 미국 대통령 당선인이 대선 과정에 친
naver.me  난 트럼프 믿는다",286,0,0,,트럼프
6970279,뭐 뭐야 ㅅㅂ 뭔일야,"트럼프가 뭐라해써?
개떡락",179,0,0,,트럼프
6970252,지금 떨어지는 이유,"트럼프 악재 떴다는데
어디서보는거임? 빨리",322,2,1,"https://in.mt/upbit
고맙다",트럼프
6970136,아귀형이다 좀 쓴소리좀할게,"트럼프에 대한 모멘텀은 이미 선반영되서 소멸단계인거다
내년 트럼프 임기시작일까진 매일 급등코인 3~4종목으로 빨래질 당할거다 정확한 기준없이 들어가서 고점에 쳐물리는 일은 없게해라.
난 리플이 주 종목이라 리플만 갖고 얘기하면, 리플이 4천원 언젠간 갈수도 있지만 적어도 올해 내지 내년초는 아니라 본다.
지금부터 슬슬 내려가서 천원 중반대에 안착한다음 서서히 갈거라 본다.
하락에 대한 시그널은 사실 어제 리플 2200깨제고 난다음 확실히 되어있던건데 수차례 경고했다.
현금화 한 사람들은 저점매수해서 시드 불리는데 유리해진거고 무시하고 조롱하던 애들은 대차게 물린거다 ㅇㅋ?",131,4,4,"염병하네
염병한다는 근거는??
난 적어도 관점으로 증명했는데?
아구햄 덕분에 쥐좆시드 3배됐습니다 항상 건강하시고 행벅하십쇼
훌륭한청년",트럼프
6970077,이번주 코인일정 알려준다,"?현코인의 비트코인 현물 선물관점공부소통방 호재/정보
#비트코인#도지코인#이더리움#리플#솔라나#수이#세이#에어드랍#NFT#바이비트#바이낸스#업비트#빗썸#가상화폐#암호화폐#코인차트#코인정보#리플#선물거래#현물거래#현물#코린이#시바이누#현코인#경제뉴스#나스닥#엔비디아#테슬라#트럼프#알트코인#BTC#테더#USDT#
buly.kr
코인일정 말고도 유료 지표들 올려주니까 매매에 참고해",182,0,0,,트럼프
6970062,긴급속보) 트럼프 코인관련 머스크비난 서로 사이 틀어졌다,이런기사뜨면 반토막 가능하냐?,284,0,1,,트럼프
6970037,시즌종료는 무슨 ㅋㅋ,트럼프 재임 기간 동안 앞으로 4년간 호재밖에 없음,172,0,0,,트럼프
6970029,그래서 니들이보기에 언제까지임? txt,장투가 보장되는 기간 트럼프나 일론머스크 둘중하나 퇴임하거나 망할때 아님 든든함?,207,1,1,"비트코인 3대거래소 비트겟에서
가입후 간단한 미션만 해도 500테더 증정하는 이벤트중입니다
귀찮아도 실행에 옮기면 적지않은 금액을 얻게되고 거래소 수수료도 아낄수 있습니다 https://partner.bitget.site/bg/VG7DFW",트럼프
6969936,속보 도널드트럼프 비트코인 매각 ㄷㄷㄷㄷㄷ,,248,0,0,,트럼프
6969883,비트코인 솔직한 전망,미국이 정책적으로 비트코인 전량 매수한다음 안푼단다 그럼 어떤 현상이 발생하냐면 현가 1억에서 순식간에 10억 찍는건 우숩게 될거다 여기서 비트에 대한 우호 정책까지 가세하고 미디어에 계속 노출시키고  이 모든게 트럼프 임기내에 끝날거고 이 작업 한방으로 미국빚은 사라질거임 비트코인은 아직 시작도 안했고 지금까지 그리고 현재까지 너희들에게 수많은 기회를 제공했다는 사실을 잊지마라 몇년후에 보자,267,1,1,123,트럼프
6969864,트럼프코인시즌5 망함,외국인도  다 도망쳐..,192,0,1,,트럼프
6969828,불장 한복판에 들어와 있는데 뭔 시작 안했단거야 ㅋㅋㅋㅋ,지금 트럼프 당선된지 지난 3주간 에이다 5배 쏘고 리플 4배 쏘고 스텔라 7배 쏘는데 이게 불장이 아니면 뭐냐 ㅋㅋㅋㅋ,191,0,0,,트럼프
6969827,이미 이거본애들은 시즌종료인거 파악했다니깐 ㅋㅋㅋ,오늘빠지고 기술적반등 한번오고 계속 계단식으로 내려꽂을거고 12월에 금리동결하면 알지? 트럼프고뭐고 수직운지다ㅋㅋㅋ ㅅㄱ링,411,3,2,"먼씨발 의미도 없는 동그라미 쳐놓고선 알지? 이지랄 하고 앉았노
엄마없는거 티내는중 ㅋㅋ 병신색히
아니 둘다 가격이 오르니까 저런 건데. 저게 무슨 의미가 있냐 ㅋㅋㅋ",트럼프
6969792,트럼프 호재취소 됐다는데,진짜임?,488,3,1,"https://in.mt/upbit
고맙
ㅂㅅ",트럼프
6969784,트럼프 노란단무지새끼 대선재료가 한달을못가냐,진짜개좆밥이네,33,0,0,,트럼프
6969629,모르는거 있으면 물어봐,"?현코인의 비트코인 현물 선물관점공부소통방 호재/정보
#비트코인#도지코인#이더리움#리플#솔라나#수이#세이#에어드랍#NFT#바이비트#바이낸스#업비트#빗썸#가상화폐#암호화폐#코인차트#코인정보#리플#선물거래#현물거래#현물#코린이#시바이누#현코인#경제뉴스#나스닥#엔비디아#테슬라#트럼프#알트코인#BTC#테더#USDT#
bit.ly
바로는 아니지만 최대한 빨리 답변해줄게
들어와서 물어봐",258,3,1,"형 밥 먹게 만원만요
온도1400 진입했음 방금.
시드는 5400이고.. 풀단타인데 1500에 팔까?",트럼프
6969625,걍 못버티겠으면 예약 매도 걸고 자라.,업비트 삭제하던가  진짜 존나 답답하네. 트럼프가 니기미 좆으로 보이더냐,115,0,0,,트럼프
6969539,단기조정 다음주에 더 빈번하게 생길거다,이런 간헐적인 조정 몇차례 더 하고 트럼프 취임과 맞물려서 파멸적 상승 나온다  조정없는 상승만 있다고 생각하는 빡대가리는 없겠지 ㅋ,66,0,0,,트럼프
6969521,트럼프 총맞고 사마,ㅋㅋ,28,0,0,,트럼프
6969342,트럼프대통령님 감사드립니다,역시 돈벌어주시는 국가는 미국일본 밖에없다. 너무감사드립니다 ㅋㅋ,120,0,1,,트럼프
6969016,속보) 트럼프 “미래 암호화폐는 SAND만 유일 할 것 ”,이라는 기사 믿는 흑우 읎재?,152,0,0,,트럼프
6968884,이번 트럼프놀이로 재미못본분들???,재방송보시구연 시즌좋료,140,0,1,,트럼프
6968752,예전 코인시장보다 규모가 커져서 폭락은 힘들지,안그럼 트럼프 똥물 뒤집어 쓰거든,103,1,1,그건 비트코인만 해당되는거고 바보냐??,트럼프
6968391,도지 오르는 이유 알려준다,"?현코인의 비트코인 현물 선물관점공부소통방 호재/정보
#비트코인#도지코인#이더리움#리플#솔라나#수이#세이#에어드랍#NFT#바이비트#바이낸스#업비트#빗썸#가상화폐#암호화폐#코인차트#코인정보#리플#선물거래#현물거래#현물#코린이#시바이누#현코인#경제뉴스#나스닥#엔비디아#테슬라#트럼프#알트코인#BTC#테더#USDT#
bit.ly
트럼프 당선되고부터 본격적으로 상승하는데 여기서 그때 눈치채고 도지 매수하라고 했다
들어와서 알트 추천해주는거 눈팅해",188,0,0,,트럼프
6968369,트럼프 랠리 끝 시즌종료,수고,101,0,1,,트럼프
6968288,도지 지금 떨어진다구요? 알빠노!,"트럼프취임식때 보라구요! 천원단다구요!
데헷",83,0,0,,트럼프
6968261,트럼프 연관코인 목록,알려주실분,268,3,0,"레퍼럴 ㄲㅈ
https://in.mt/upbit
감사",트럼프
6967985,트럼프 취임전까지만 코인해라,그때까진 우상향이다,148,0,0,,트럼프
6967768,도지는 무조건 지폐된다,트럼프 취임식까지 좀 기다려 병신들아,164,0,0,,트럼프
6967564,도람푸가 비트코인 진짜 사주는거냐,"기사 보니까 사준다는데... 그럼 비트 더가냐ㅇㅇ?   비트코인 전략적 준비 자산의 모든 것 [2024년]
도널드 트럼프가 미국 대통령에 당선되면서 비트코인을 ‘국가 전략 비축 자산(strategic national bitcoin stockpile)’으로 삼겠다고 했던 대선 공략이 다시 화제입니다. 국가 차원에서 비트코인 100만 개를 5년에 걸쳐 매입하겠다는 건데요. 실제 이 공약이 현실화된다면, 국제 자본 시장에 엄청난 충격 혹은 커다란 변화가 예상됩니다. 하지만, 정부 자금으로 비트코인을 매입하기 위해서는 국민과 의회는 물론 연방준비제도(Fed)도 설득해야 하는 등 난관이 … Continued
kr.beincrypto.com",72,0,0,,트럼프
6967556,페페아빠가 2025년 1월 20일 트럼프 대통령 취임식을 기점으로 돔향차,빨랑 돔향챠~ ㅋㅋㅋ 비트코인 1만딸라 99프로 확정~ 다른 평행세계에선 해리스 당선 확정~ ㅋㅋㅋ,118,0,0,,트럼프
6967426,비트말고 알트,"뭔 소용이 있냐? 괜히 트럼프 머스크 팔아서 니들 돈 빼먹는 사기치는거지,, 그렇게 몇년에 한번씩 신규 개미 꼬셔서
푹 적셔서 버둥거리게 만드는게
코인 시장,, 잡알트 뭐에 쓸건데??
도너츠 사먹게? 무한발행 도지 그걸로 로케트 날리려면
달러같은 가치가 있어야 하는데,
아무 쓸모 짝에도 없잖아,,, 샌드, 디센트,,뭐에 쓸건데,,,, 답답하다",71,0,0,,트럼프
6967418,좀 천천히 지켜봐라 트럼프 취임 많이 남았다,,148,1,2,,트럼프
6967260,트럼프 이새기 왜이럼,대가리에 구멍뚫릴뻔하고서 유대인들한테 강제적 회유라도 당한거임?,325,0,1,,트럼프
6967132,근데 역대 차트보니까 불장은 한달 길어야 두달인데 슬 막바지아님?,이번엔 상황이 좀 다른가 겐슬러 사임 트럼프 정권 더 날아갈 구석이있다고봄? 슬 익절 해야되나 고민되네,170,0,0,,트럼프
6967102,트럼프 취임하면 테더도 조심해야할거다,"usdc 쓰라고 할수도 잇슴
트럼프가 이번에 인수할 코인거래소에서도
스테이블코인으로 usdc만 씀",145,0,0,,트럼프
6966904,몇주 느긋하게 보면 무조건 도지+비트코인,나중에 트럼프 각하 취임하면 늦음,164,0,0,,트럼프
6966866,이번주 제일 잘한짓,"이더 5퍼먹고 바로 빼고 도지넣은거 도지는 어차피 머스크 응디 믿고 계속 우상향할꺼고 
이더는 뺀 이유가 etf승인되고 알트대장 의미를 잃어버렸다고 판단함 
갠적으로 이번장에 조심할껀 ai 코인을 안사는거 트럼프 머스크가 ai그렇게 좋아하지않음",229,0,0,,트럼프
6966822,사놓고 놔두라고,알트 아무거나 사놓고 트럼프취임때까지 기다리면 두배는 감,94,0,0,,트럼프
6966615,걍 길게보고 오른거먹튀하면 되는거아니냐,이제코인판 안끝난다며 트럼프 일론머스크 합체라,127,0,1,,트럼프
6966503,트럼프 트위터 방금올라온 호재,,184,0,0,,트럼프
6966328,트럼프취임도안했는데손절하는ㅂㅅ읍제,ㅇ,116,0,0,,트럼프
6966310,트럼프 정권때) 비트코인보다 시총이 더큰 코인이 생기지 않을까?,진짜 큰 기회가 올수도 있음. 기존에 있는 코인보단 25년도에 새롭게 미국에서 만들어지는 코인일 가능성이 높다,195,0,1,,트럼프
6966195,코인은 트럼프당선이 호잰데 미국코인 사야지 ㅋㅋ,트럼프 아직 임기 시작 도 안했다 미국이나 트럼프 관련 코인사라,92,0,0,,트럼프
6966009,트럼프 거래소 코인 목록,"코스모스
비트코인
비트코인 캐시
이더리움
이더리움 클래식
헤데라
리플
도지
시바이누
솔라나",240,1,0,추가 페페 알고랜드 체인링크,트럼프
6965949,님들 비트코인 얼마까지갈거같아?,"2100만개 발행종료가 2040년임 그러면 곧 4년마다 오는 반감기 올거고 그때부터 주어담을거거든 내 정년노후를 여기에 올인하려고 고민인게 트럼프 임기동안
테슬라만 계속살지 비트,테슬라 반반씩살지 그냥 반감기 겪고 꾸준히 비트만살지 고민됨 비트코인 지금은 1.36억 (9.78만달러)지만 2040년 기준으로 계속 무섭게 오를거같아 그래도 내 정년까진 사고싶음
정년끝나면 이제 생활비만큼 끄내쓰는거지.. 이것만한 노후가있을까",156,2,0,"나중에 서울 집 값되고 왜 안산거 후회할듯
내가볼땐 최소 10억이상은 갈거같아서",트럼프
6965937,트럼프가 이번에 인수한 거래소에 스텔라는 없다,"이클도 잇는데
스텔라는 아지 떡락만 남았다",150,0,0,,트럼프
6965563,■디센트럴이■대장간다●매수 드가라 ■트럼프 부동산코인,고,43,0,0,,트럼프
6965531,가스 안 사면 병신 작년이랑 똑같이 흘러감,"가스 터진다고 한 새끼들 2만원때에도 이제 떨어진다 ㅇㅈㄹ 했는데
바로 4만원 간거 생각해봐라 애들아
작년이랑 그림 똑같잖아
이번 트럼프 당선 하고서는 어떨거 같냐?
전고점 4만원 뚫고 10만원까지 간다
또 욕하는 새끼들 있겠지
작년처럼 난 말 했다 알아서들 타라",114,0,3,,트럼프
6965510,아비트럼 존나쏠듯 아비트럼프,,60,0,0,,트럼프
6965356,스텔라는 메이저가아님?,트럼프고뭐고 걍 박혀도 안이상한거? 도지 리플 이런거랑 다르냐,107,0,1,,트럼프
6965198,샌드박스 대략 3년전에 만원 넘던 코인임,트럼프 밈타고 다시 도달할 예정 ㅇㅇ,420,1,1,와 그럼 시체 감당 어떻게 함?,트럼프
