index,title,writer,views,comments_count,likes,comments,keyword
6989219,시바랑 도지랑 형제 아니였냐,왜 시바만 가 시바려나 ㅋㅋ,70,1,0,시바가 이더리움계열이니깐 ;;,도지
6989218,애미 뺨싸대기 갈기러간다 ㅋㅋㅋㅋㅋㅋ,"내가 씨발 하루는 관망해야된다고 개지랄을 해대어도  당장 도디사고 조금씩 모아가라던 애미 좆버러지년 ㅋㅋㅋㅋㅋㅋㅋ 
아 시발 ㅋㅋㅋㅋㅋㅋ 하다못해 코스모스라도 사는게 낫다니까 그딴 잡코인은 왜 사냐며 등짝 스매싱 갈기던 개병신년 ㅋㅋㅋㅋㅋㅋ 
애미 씨발 ㅋㅋㅋㅋ 이래서 배운 집안에서 태어나야된다니깐 씨발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 
아 시발 ㅋㅋㅋㅋㅋ 부모 복이 인생의 9할이라는데 인생의 9할이 없내 애미 씨발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 
빨랑 애미년이 둬져서 보험금이나 남기고 내 인생에서 꺼져줬으면 좋겠노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 장례식장때 도지 사진 올려놔야지 ㅋㅋㅋㅋㅋ좆병신년 ㅋㅋㅋㅋ",86,0,1,,도지
6989174,도지 악재 ㅠ,"https://www.wikitree.co.kr/articles/1003228
 급격하게 오르던 도지코인이 급락한 이유, 이것과 관련이 있다
시장 전반에 걸쳐 대규모 롱 포지션 청산... 과매수 상태 2주 이상 유지,
www.wikitree.co.kr",90,0,0,,도지
6989147,처음 방문한 도박장에서 신이 사랑하는 사람은 가진 돈을 다 잃은 사람이다,"난 신이 사랑하는 병신이다
왜냐면 도지 381원에 주워놓고
조금 빠졌다고 패닉셀 한 병신이기 때문이다
내 250만원",55,0,0,,도지
6989140,트럼프 대통령 됐는데 러시아 코인을 하누 ㅋㅋㅋ 메이드인 usa를 잡아야,도지라도 타던가 이더 ㅇㅈㄹ,130,1,0,,도지
6989115,당분간 이더 하락이 절대 안오는 이유 반박불가,"지금까지 리플 솔라나 도지등 알트 대장도 아닌 잡코들만 시총 2-3배 뻥튀기됨 알트 근본 비트 오른팔 이더는 잡코들이 오를때 진짜 아애 안오른 수준 오른것도 없기 때문에 설상 대폭락장이 온다고해도 이더는 절대 안떨어지고 이제 확률적으로 상승도 못한 이더가 오를 차례가 맞음 전문가들도 올해안에 최소 1500부근 예상중이고 틀리다고 하더라도 떨어질 일이 없기때문에 무조건 풀매수 가는게 맞음
",148,1,1,머래 시발아 4000달러에서 횡보 좆빠지게 애무만 하다가 연말 다보낼거임,도지
6989108,도지파파 세일중ㅋㅋ 곧 700감,"도지 1달라 가기전 세일
",58,0,0,,도지
6988890,도지 하락장은 지금이 이례적임 ㅎ,"절대로 600에서 안 떨어질 것같던 도지가 590에 정착했단 말이지 ㅎ 그래서 그거 믿고 산 형님들 ㅈㄴ 많을거다..
그냥 기다려라...",132,0,0,,도지
6988812,너네가 도지 무시해서 도지 안간다,삐졌다 멍,58,0,0,,도지
6988799,"리플,도지,스텔라가 중요한게 아니라","이더리움 시작했다구 멍충이들아. 빨리 갈아타라
12월안까지 천만원 넘어간다규~",211,1,0,ㅇㅁ ㅈ빠는소리 달나라가서 바지벗고해라,도지
6988727,"이더,이클=러시아산 리플,도지=그레잇어메리카산",개씹퇴물 이더? 반등에 그침 ㅋㅋ 그새낀 끝남 ,59,0,0,,도지
6988720,저능아 새끼들아 딱보면 모르냐?,"비트 도지 리플
그다음은 뭐 겠노? 이더or솔라나 ",86,0,0,,도지
6988711,도지 500층에서 애무질 존나 함,"미친새끼
",68,0,0,,도지
6988707,도지는 진심 뭐하는 새끼냐,"슬슬 역겹네
",106,0,0,,도지
6988703,도지 590인데 ㄱㅋ,이거 590각인데 ㅋㅋ,113,0,0,,도지
